feature,lr_coef,lr_abs,dt_importance
month_mar,1.24675735,1.24675735,0.028388384
duration,1.211628589,1.211628589,0.548157521
cons.price.idx,0.942919503,0.942919503,0.026203485
month_aug,0.511846772,0.511846772,0
euribor3m,0.410052743,0.410052743,0.339014844
job_student,0.139226755,0.139226755,0
job_retired,0.132009686,0.132009686,0
job_unknown,0.025848751,0.025848751,0
month_dec,-0.038479534,0.038479534,0
month_sep,-0.045623598,0.045623598,0
job_admin.,-0.073333771,0.073333771,0
month_jul,-0.126546456,0.126546456,0
job_management,-0.12903844,0.12903844,0.000402342
job_technician,-0.138426465,0.138426465,0
job_unemployed,-0.143891201,0.143891201,0
job_housemaid,-0.25780398,0.25780398,0
month_oct,-0.281050484,0.281050484,0
job_services,-0.312957922,0.312957922,0
job_entrepreneur,-0.400544381,0.400544381,0
job_self-employed,-0.427425748,0.427425748,0
job_blue-collar,-0.509283312,0.509283312,0.001946183
month_apr,-0.628370809,0.628370809,0.018937487
month_nov,-0.684329649,0.684329649,0
month_jun,-0.900052465,0.900052465,0
month_may,-1.149771155,1.149771155,0
emp.var.rate,-2.18776191,2.18776191,0.036949753
